ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate
22,8,6,4,29440,6.15183333333333333333
22,8,6,6,41216,4.06600000000000000000
22,8,6,8,52992,3.55500000000000000000
22,8,8,4,29440,12.11200000000000000000
22,8,8,6,41216,6.41233333333333333333
22,8,8,8,52992,4.48200000000000000000
22,8,10,4,29440,13.01966666666666666666
22,8,10,6,41216,12.46200000000000000000
22,8,10,8,52992,7.06416666666666666666
22,8,12,4,29440,13.09833333333333333333
22,8,12,6,41216,12.90283333333333333333
22,8,12,8,52992,12.65383333333333333333
22,8,14,4,29440,13.09833333333333333333
22,8,14,6,41216,12.91283333333333333333
22,8,14,8,52992,12.79983333333333333333
22,8,16,4,29440,13.09833333333333333333
22,8,16,6,41216,12.91283333333333333333
22,8,16,8,52992,12.79983333333333333333
24,4,4,4,2000,8.92416666666666666666
24,4,4,6,2800,7.64366666666666666666
24,4,4,8,3600,7.55666666666666666666
24,4,4,10,4400,7.55666666666666666666
24,4,4,12,5200,7.55666666666666666666
24,4,6,4,2000,12.74816666666666666666
24,4,6,6,2800,8.57000000000000000000
24,4,6,8,3600,7.70366666666666666666
24,4,6,10,4400,7.68550000000000000000
24,4,6,12,5200,7.68550000000000000000
24,4,8,4,2000,21.07450000000000000000
24,4,8,6,2800,12.82416666666666666666
24,4,8,8,3600,9.00816666666666666666
24,4,8,10,4400,8.43350000000000000000
24,4,8,12,5200,8.43216666666666666666
24,4,10,4,2000,22.24083333333333333333
24,4,10,6,2800,21.49683333333333333333
24,4,10,8,3600,13.11966666666666666666
24,4,10,10,4400,9.89216666666666666666
24,4,10,12,5200,9.52233333333333333333
24,4,12,4,2000,22.83866666666666666666
24,4,12,6,2800,22.63200000000000000000
24,4,12,8,3600,21.87016666666666666666
24,4,12,10,4400,13.86500000000000000000
24,4,12,12,5200,11.35566666666666666666
24,4,14,4,2000,22.88016666666666666666
24,4,14,6,2800,22.82933333333333333333
24,4,14,8,3600,22.71666666666666666666
24,4,14,10,4400,22.03733333333333333333
24,4,14,12,5200,15.31066666666666666666
24,4,16,4,2000,22.88016666666666666666
24,4,16,6,2800,22.82933333333333333333
24,4,16,8,3600,22.71666666666666666666
24,4,16,10,4400,22.39266666666666666666
24,4,16,12,5200,21.49216666666666666666
24,6,4,4,8000,5.62700000000000000000
24,6,4,6,11200,4.52950000000000000000
24,6,4,8,14400,4.45750000000000000000
24,6,4,10,17600,4.45716666666666666666
24,6,4,12,20800,4.45716666666666666666
24,6,6,4,8000,8.31950000000000000000
24,6,6,6,11200,5.26216666666666666666
24,6,6,8,14400,4.63750000000000000000
24,6,6,10,17600,4.63483333333333333333
24,6,6,12,20800,4.63483333333333333333
24,6,8,4,8000,15.89333333333333333333
24,6,8,6,11200,8.41800000000000000000
24,6,8,8,14400,5.70666666666666666666
24,6,8,10,17600,5.27150000000000000000
24,6,8,12,20800,5.27133333333333333333
24,6,10,4,8000,17.34816666666666666666
24,6,10,6,11200,16.32266666666666666666
24,6,10,8,14400,8.95450000000000000000
24,6,10,10,17600,6.64450000000000000000
24,6,10,12,20800,6.41250000000000000000
24,6,12,4,8000,17.81216666666666666666
24,6,12,6,11200,17.46766666666666666666
24,6,12,8,14400,16.70450000000000000000
24,6,12,10,17600,10.21800000000000000000
24,6,12,12,20800,8.66866666666666666666
24,6,14,4,8000,17.84566666666666666666
24,6,14,6,11200,17.60300000000000000000
24,6,14,8,14400,17.29400000000000000000
24,6,14,10,17600,16.82833333333333333333
24,6,14,12,20800,12.38116666666666666666
24,6,16,4,8000,17.84566666666666666666
24,6,16,6,11200,17.60300000000000000000
24,6,16,8,14400,17.29400000000000000000
24,6,16,10,17600,17.07750000000000000000
24,6,16,12,20800,16.87500000000000000000
24,8,4,4,32000,4.38633333333333333333
24,8,4,6,44800,3.46883333333333333333
24,8,4,8,57600,3.40400000000000000000
24,8,6,4,32000,6.28000000000000000000
24,8,6,6,44800,4.00433333333333333333
24,8,6,8,57600,3.50683333333333333333
24,8,8,4,32000,12.07233333333333333333
24,8,8,6,44800,6.37033333333333333333
24,8,8,8,57600,4.35666666666666666666
24,8,10,4,32000,13.01600000000000000000
24,8,10,6,44800,12.43850000000000000000
24,8,10,8,57600,6.97300000000000000000
24,8,12,4,32000,13.10150000000000000000
24,8,12,6,44800,12.90400000000000000000
24,8,12,8,57600,12.64133333333333333333
24,8,14,4,32000,13.10150000000000000000
24,8,14,6,44800,12.91666666666666666666
24,8,14,8,57600,12.79900000000000000000
24,8,16,4,32000,13.10150000000000000000
24,8,16,6,44800,12.91666666666666666666
24,8,16,8,57600,12.79900000000000000000
