trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
mm_2.bz2,16,8,14,6,30464,22.370
fp_1.bz2,16,8,14,8,39168,1.338
fp_2.bz2,16,8,14,8,39168,20.163
int_1.bz2,16,8,14,8,39168,19.297
int_2.bz2,16,8,14,8,39168,0.776
mm_1.bz2,16,8,14,8,39168,12.691
mm_2.bz2,16,8,14,8,39168,22.291
fp_1.bz2,16,8,14,10,47872,1.338
fp_2.bz2,16,8,14,10,47872,20.163
int_1.bz2,16,8,14,10,47872,18.820
int_2.bz2,16,8,14,10,47872,0.774
mm_1.bz2,16,8,14,10,47872,11.703
mm_2.bz2,16,8,14,10,47872,22.251
fp_1.bz2,16,8,14,12,56576,1.338
fp_2.bz2,16,8,14,12,56576,9.068
int_1.bz2,16,8,14,12,56576,17.513
int_2.bz2,16,8,14,12,56576,0.762
mm_1.bz2,16,8,14,12,56576,10.542
mm_2.bz2,16,8,14,12,56576,21.941
fp_1.bz2,16,8,16,4,21760,1.422
fp_2.bz2,16,8,16,4,21760,20.163
int_1.bz2,16,8,16,4,21760,19.857
int_2.bz2,16,8,16,4,21760,0.803
mm_1.bz2,16,8,16,4,21760,13.547
mm_2.bz2,16,8,16,4,21760,22.986
fp_1.bz2,16,8,16,6,30464,1.338
fp_2.bz2,16,8,16,6,30464,20.163
int_1.bz2,16,8,16,6,30464,19.662
int_2.bz2,16,8,16,6,30464,0.792
mm_1.bz2,16,8,16,6,30464,13.262
mm_2.bz2,16,8,16,6,30464,22.370
fp_1.bz2,16,8,16,8,39168,1.338
fp_2.bz2,16,8,16,8,39168,20.163
int_1.bz2,16,8,16,8,39168,19.297
int_2.bz2,16,8,16,8,39168,0.776
mm_1.bz2,16,8,16,8,39168,12.691
mm_2.bz2,16,8,16,8,39168,22.291
fp_1.bz2,16,8,16,10,47872,1.338
fp_2.bz2,16,8,16,10,47872,20.163
int_1.bz2,16,8,16,10,47872,18.820
int_2.bz2,16,8,16,10,47872,0.774
mm_1.bz2,16,8,16,10,47872,11.703
mm_2.bz2,16,8,16,10,47872,22.286
fp_1.bz2,16,8,16,12,56576,1.338
fp_2.bz2,16,8,16,12,56576,20.163
int_1.bz2,16,8,16,12,56576,18.488
int_2.bz2,16,8,16,12,56576,0.774
mm_1.bz2,16,8,16,12,56576,11.161
mm_2.bz2,16,8,16,12,56576,22.430
fp_1.bz2,18,4,4,4,1520,1.450
fp_2.bz2,18,4,4,4,1520,3.862
int_1.bz2,18,4,4,4,1520,22.740
int_2.bz2,18,4,4,4,1520,0.768
mm_1.bz2,18,4,4,4,1520,13.806
mm_2.bz2,18,4,4,4,1520,14.947
fp_1.bz2,18,4,4,6,2128,0.963
fp_2.bz2,18,4,4,6,2128,1.325
int_1.bz2,18,4,4,6,2128,21.585
int_2.bz2,18,4,4,6,2128,0.614
mm_1.bz2,18,4,4,6,2128,10.804
mm_2.bz2,18,4,4,6,2128,14.355
fp_1.bz2,18,4,4,8,2736,0.963
fp_2.bz2,18,4,4,8,2736,1.024
int_1.bz2,18,4,4,8,2736,21.220
int_2.bz2,18,4,4,8,2736,0.613
mm_1.bz2,18,4,4,8,2736,10.610
mm_2.bz2,18,4,4,8,2736,14.355
fp_1.bz2,18,4,4,10,3344,0.963
fp_2.bz2,18,4,4,10,3344,1.024
int_1.bz2,18,4,4,10,3344,21.220
int_2.bz2,18,4,4,10,3344,0.613
mm_1.bz2,18,4,4,10,3344,10.610
mm_2.bz2,18,4,4,10,3344,14.355
fp_1.bz2,18,4,4,12,3952,0.963
fp_2.bz2,18,4,4,12,3952,1.024
int_1.bz2,18,4,4,12,3952,21.220
int_2.bz2,18,4,4,12,3952,0.613
mm_1.bz2,18,4,4,12,3952,10.610
mm_2.bz2,18,4,4,12,3952,14.355
fp_1.bz2,18,4,6,4,1520,2.387
fp_2.bz2,18,4,6,4,1520,13.926
int_1.bz2,18,4,6,4,1520,26.893
int_2.bz2,18,4,6,4,1520,1.194
mm_1.bz2,18,4,6,4,1520,20.289
mm_2.bz2,18,4,6,4,1520,19.436
fp_1.bz2,18,4,6,6,2128,1.136
fp_2.bz2,18,4,6,6,2128,3.749
int_1.bz2,18,4,6,6,2128,21.759
int_2.bz2,18,4,6,6,2128,0.769
mm_1.bz2,18,4,6,6,2128,12.282
mm_2.bz2,18,4,6,6,2128,16.131
fp_1.bz2,18,4,6,8,2736,0.988
fp_2.bz2,18,4,6,8,2736,1.367
int_1.bz2,18,4,6,8,2736,20.956
int_2.bz2,18,4,6,8,2736,0.693
mm_1.bz2,18,4,6,8,2736,10.444
mm_2.bz2,18,4,6,8,2736,16.115
fp_1.bz2,18,4,6,10,3344,0.988
fp_2.bz2,18,4,6,10,3344,1.152
int_1.bz2,18,4,6,10,3344,20.700
int_2.bz2,18,4,6,10,3344,0.693
mm_1.bz2,18,4,6,10,3344,10.387
mm_2.bz2,18,4,6,10,3344,16.115
fp_1.bz2,18,4,6,12,3952,0.988
fp_2.bz2,18,4,6,12,3952,1.152
int_1.bz2,18,4,6,12,3952,20.700
int_2.bz2,18,4,6,12,3952,0.693
mm_1.bz2,18,4,6,12,3952,10.387
mm_2.bz2,18,4,6,12,3952,16.115
fp_1.bz2,18,4,8,4,1520,2.498
fp_2.bz2,18,4,8,4,1520,31.844
int_1.bz2,18,4,8,4,1520,33.973
int_2.bz2,18,4,8,4,1520,1.702
mm_1.bz2,18,4,8,4,1520,32.475
mm_2.bz2,18,4,8,4,1520,25.432
fp_1.bz2,18,4,8,6,2128,2.401
fp_2.bz2,18,4,8,6,2128,12.807
int_1.bz2,18,4,8,6,2128,26.213
int_2.bz2,18,4,8,6,2128,1.199
mm_1.bz2,18,4,8,6,2128,20.013
mm_2.bz2,18,4,8,6,2128,21.491
fp_1.bz2,18,4,8,8,2736,1.380
fp_2.bz2,18,4,8,8,2736,3.503
int_1.bz2,18,4,8,8,2736,21.857
int_2.bz2,18,4,8,8,2736,0.890
mm_1.bz2,18,4,8,8,2736,11.987
mm_2.bz2,18,4,8,8,2736,19.429
fp_1.bz2,18,4,8,10,3344,1.162
fp_2.bz2,18,4,8,10,3344,1.675
int_1.bz2,18,4,8,10,3344,21.396
int_2.bz2,18,4,8,10,3344,0.878
mm_1.bz2,18,4,8,10,3344,10.856
mm_2.bz2,18,4,8,10,3344,19.479
fp_1.bz2,18,4,8,12,3952,1.162
fp_2.bz2,18,4,8,12,3952,1.631
int_1.bz2,18,4,8,12,3952,21.396
int_2.bz2,18,4,8,12,3952,0.878
mm_1.bz2,18,4,8,12,3952,10.856
mm_2.bz2,18,4,8,12,3952,19.479
fp_1.bz2,18,4,10,4,1520,2.546
fp_2.bz2,18,4,10,4,1520,31.853
int_1.bz2,18,4,10,4,1520,34.074
int_2.bz2,18,4,10,4,1520,1.764
mm_1.bz2,18,4,10,4,1520,32.482
mm_2.bz2,18,4,10,4,1520,31.180
fp_1.bz2,18,4,10,6,2128,2.518
fp_2.bz2,18,4,10,6,2128,31.846
int_1.bz2,18,4,10,6,2128,34.030
int_2.bz2,18,4,10,6,2128,1.720
mm_1.bz2,18,4,10,6,2128,32.394
mm_2.bz2,18,4,10,6,2128,27.699
fp_1.bz2,18,4,10,8,2736,2.420
fp_2.bz2,18,4,10,8,2736,12.253
int_1.bz2,18,4,10,8,2736,26.134
int_2.bz2,18,4,10,8,2736,1.276
mm_1.bz2,18,4,10,8,2736,19.869
mm_2.bz2,18,4,10,8,2736,24.496
fp_1.bz2,18,4,10,10,3344,1.870
fp_2.bz2,18,4,10,10,3344,3.856
int_1.bz2,18,4,10,10,3344,22.442
int_2.bz2,18,4,10,10,3344,1.117
mm_1.bz2,18,4,10,10,3344,12.557
mm_2.bz2,18,4,10,10,3344,22.477
fp_1.bz2,18,4,10,12,3952,1.778
fp_2.bz2,18,4,10,12,3952,2.430
int_1.bz2,18,4,10,12,3952,22.002
int_2.bz2,18,4,10,12,3952,1.109
mm_1.bz2,18,4,10,12,3952,11.810
mm_2.bz2,18,4,10,12,3952,22.446
fp_1.bz2,18,4,12,4,1520,2.546
fp_2.bz2,18,4,12,4,1520,31.853
int_1.bz2,18,4,12,4,1520,34.074
int_2.bz2,18,4,12,4,1520,1.787
mm_1.bz2,18,4,12,4,1520,32.482
mm_2.bz2,18,4,12,4,1520,34.389
fp_1.bz2,18,4,12,6,2128,2.546
fp_2.bz2,18,4,12,6,2128,31.852
int_1.bz2,18,4,12,6,2128,34.034
int_2.bz2,18,4,12,6,2128,1.772
mm_1.bz2,18,4,12,6,2128,32.399
mm_2.bz2,18,4,12,6,2128,33.687
fp_1.bz2,18,4,12,8,2736,2.529
fp_2.bz2,18,4,12,8,2736,31.850
int_1.bz2,18,4,12,8,2736,33.948
int_2.bz2,18,4,12,8,2736,1.728
mm_1.bz2,18,4,12,8,2736,32.064
mm_2.bz2,18,4,12,8,2736,29.977
fp_1.bz2,18,4,12,10,3344,2.479
fp_2.bz2,18,4,12,10,3344,12.851
int_1.bz2,18,4,12,10,3344,27.152
int_2.bz2,18,4,12,10,3344,1.407
mm_1.bz2,18,4,12,10,3344,20.191
mm_2.bz2,18,4,12,10,3344,27.508
fp_1.bz2,18,4,12,12,3952,2.456
fp_2.bz2,18,4,12,12,3952,5.200
int_1.bz2,18,4,12,12,3952,23.742
int_2.bz2,18,4,12,12,3952,1.338
mm_1.bz2,18,4,12,12,3952,14.481
mm_2.bz2,18,4,12,12,3952,25.731
fp_1.bz2,18,4,14,4,1520,2.546
fp_2.bz2,18,4,14,4,1520,31.853
int_1.bz2,18,4,14,4,1520,34.074
int_2.bz2,18,4,14,4,1520,1.787
mm_1.bz2,18,4,14,4,1520,32.482
mm_2.bz2,18,4,14,4,1520,34.587
fp_1.bz2,18,4,14,6,2128,2.546
fp_2.bz2,18,4,14,6,2128,31.852
int_1.bz2,18,4,14,6,2128,34.034
int_2.bz2,18,4,14,6,2128,1.772
mm_1.bz2,18,4,14,6,2128,32.399
mm_2.bz2,18,4,14,6,2128,34.439
fp_1.bz2,18,4,14,8,2736,2.546
fp_2.bz2,18,4,14,8,2736,31.850
int_1.bz2,18,4,14,8,2736,33.948
int_2.bz2,18,4,14,8,2736,1.729
mm_1.bz2,18,4,14,8,2736,32.064
mm_2.bz2,18,4,14,8,2736,34.259
fp_1.bz2,18,4,14,10,3344,2.546
fp_2.bz2,18,4,14,10,3344,31.850
int_1.bz2,18,4,14,10,3344,33.630
int_2.bz2,18,4,14,10,3344,1.726
mm_1.bz2,18,4,14,10,3344,30.878
mm_2.bz2,18,4,14,10,3344,32.373
fp_1.bz2,18,4,14,12,3952,2.546
fp_2.bz2,18,4,14,12,3952,14.464
int_1.bz2,18,4,14,12,3952,29.782
int_2.bz2,18,4,14,12,3952,1.570
mm_1.bz2,18,4,14,12,3952,21.085
mm_2.bz2,18,4,14,12,3952,31.215
fp_1.bz2,18,4,16,4,1520,2.546
fp_2.bz2,18,4,16,4,1520,31.853
int_1.bz2,18,4,16,4,1520,34.074
int_2.bz2,18,4,16,4,1520,1.787
mm_1.bz2,18,4,16,4,1520,32.482
mm_2.bz2,18,4,16,4,1520,34.587
fp_1.bz2,18,4,16,6,2128,2.546
fp_2.bz2,18,4,16,6,2128,31.852
int_1.bz2,18,4,16,6,2128,34.034
int_2.bz2,18,4,16,6,2128,1.772
mm_1.bz2,18,4,16,6,2128,32.399
mm_2.bz2,18,4,16,6,2128,34.439
fp_1.bz2,18,4,16,8,2736,2.546
fp_2.bz2,18,4,16,8,2736,31.850
int_1.bz2,18,4,16,8,2736,33.948
int_2.bz2,18,4,16,8,2736,1.729
mm_1.bz2,18,4,16,8,2736,32.064
mm_2.bz2,18,4,16,8,2736,34.259
fp_1.bz2,18,4,16,10,3344,2.546
fp_2.bz2,18,4,16,10,3344,31.850
int_1.bz2,18,4,16,10,3344,33.630
int_2.bz2,18,4,16,10,3344,1.726
mm_1.bz2,18,4,16,10,3344,30.878
mm_2.bz2,18,4,16,10,3344,34.170
fp_1.bz2,18,4,16,12,3952,2.546
fp_2.bz2,18,4,16,12,3952,31.850
int_1.bz2,18,4,16,12,3952,33.810
int_2.bz2,18,4,16,12,3952,1.760
mm_1.bz2,18,4,16,12,3952,27.303
mm_2.bz2,18,4,16,12,3952,34.103
fp_1.bz2,18,6,4,4,6080,1.075
fp_2.bz2,18,6,4,4,6080,2.362
int_1.bz2,18,6,4,4,6080,15.375
int_2.bz2,18,6,4,4,6080,0.430
mm_1.bz2,18,6,4,4,6080,6.712
mm_2.bz2,18,6,4,4,6080,10.582
fp_1.bz2,18,6,4,6,8512,0.841
fp_2.bz2,18,6,4,6,8512,0.978
int_1.bz2,18,6,4,6,8512,12.626
int_2.bz2,18,6,4,6,8512,0.377
mm_1.bz2,18,6,4,6,8512,4.239
mm_2.bz2,18,6,4,6,8512,10.254
fp_1.bz2,18,6,4,8,10944,0.841
fp_2.bz2,18,6,4,8,10944,0.975
int_1.bz2,18,6,4,8,10944,12.434
int_2.bz2,18,6,4,8,10944,0.383
mm_1.bz2,18,6,4,8,10944,4.045
mm_2.bz2,18,6,4,8,10944,10.254
fp_1.bz2,18,6,4,10,13376,0.841
fp_2.bz2,18,6,4,10,13376,0.975
int_1.bz2,18,6,4,10,13376,12.434
int_2.bz2,18,6,4,10,13376,0.383
mm_1.bz2,18,6,4,10,13376,4.045
mm_2.bz2,18,6,4,10,13376,10.254
fp_1.bz2,18,6,4,12,15808,0.841
fp_2.bz2,18,6,4,12,15808,0.975
int_1.bz2,18,6,4,12,15808,12.434
int_2.bz2,18,6,4,12,15808,0.383
mm_1.bz2,18,6,4,12,15808,4.045
mm_2.bz2,18,6,4,12,15808,10.254
fp_1.bz2,18,6,6,4,6080,1.713
fp_2.bz2,18,6,6,4,6080,7.979
int_1.bz2,18,6,6,4,6080,19.569
int_2.bz2,18,6,6,4,6080,0.749
mm_1.bz2,18,6,6,4,6080,12.444
mm_2.bz2,18,6,6,4,6080,14.965
fp_1.bz2,18,6,6,6,8512,0.967
fp_2.bz2,18,6,6,6,8512,1.989
int_1.bz2,18,6,6,6,8512,14.068
int_2.bz2,18,6,6,6,8512,0.461
mm_1.bz2,18,6,6,6,8512,5.925
mm_2.bz2,18,6,6,6,8512,12.128
fp_1.bz2,18,6,6,8,10944,0.866
fp_2.bz2,18,6,6,8,10944,1.012
int_1.bz2,18,6,6,8,10944,11.994
int_2.bz2,18,6,6,8,10944,0.446
mm_1.bz2,18,6,6,8,10944,4.271
mm_2.bz2,18,6,6,8,10944,12.018
fp_1.bz2,18,6,6,10,13376,0.866
fp_2.bz2,18,6,6,10,13376,1.011
int_1.bz2,18,6,6,10,13376,11.935
int_2.bz2,18,6,6,10,13376,0.446
mm_1.bz2,18,6,6,10,13376,4.216
mm_2.bz2,18,6,6,10,13376,12.018
fp_1.bz2,18,6,6,12,15808,0.866
fp_2.bz2,18,6,6,12,15808,1.011
int_1.bz2,18,6,6,12,15808,11.935
int_2.bz2,18,6,6,12,15808,0.446
mm_1.bz2,18,6,6,12,15808,4.216
mm_2.bz2,18,6,6,12,15808,12.018
fp_1.bz2,18,6,8,4,6080,1.863
fp_2.bz2,18,6,8,4,6080,21.642
int_1.bz2,18,6,8,4,6080,26.870
int_2.bz2,18,6,8,4,6080,1.139
mm_1.bz2,18,6,8,4,6080,23.445
mm_2.bz2,18,6,8,4,6080,21.988
fp_1.bz2,18,6,8,6,8512,1.779
fp_2.bz2,18,6,8,6,8512,7.821
int_1.bz2,18,6,8,6,8512,19.268
int_2.bz2,18,6,8,6,8512,0.783
mm_1.bz2,18,6,8,6,8512,11.919
mm_2.bz2,18,6,8,6,8512,17.421
fp_1.bz2,18,6,8,8,10944,0.997
fp_2.bz2,18,6,8,8,10944,1.820
int_1.bz2,18,6,8,8,10944,14.284
int_2.bz2,18,6,8,8,10944,0.624
mm_1.bz2,18,6,8,8,10944,5.868
mm_2.bz2,18,6,8,8,10944,14.658
fp_1.bz2,18,6,8,10,13376,0.948
fp_2.bz2,18,6,8,10,13376,1.143
int_1.bz2,18,6,8,10,13376,12.495
int_2.bz2,18,6,8,10,13376,0.622
mm_1.bz2,18,6,8,10,13376,4.729
mm_2.bz2,18,6,8,10,13376,14.575
fp_1.bz2,18,6,8,12,15808,0.948
fp_2.bz2,18,6,8,12,15808,1.143
int_1.bz2,18,6,8,12,15808,12.486
int_2.bz2,18,6,8,12,15808,0.622
mm_1.bz2,18,6,8,12,15808,4.729
mm_2.bz2,18,6,8,12,15808,14.575
fp_1.bz2,18,6,10,4,6080,1.863
fp_2.bz2,18,6,10,4,6080,21.642
int_1.bz2,18,6,10,4,6080,27.513
int_2.bz2,18,6,10,4,6080,1.179
mm_1.bz2,18,6,10,4,6080,23.450
mm_2.bz2,18,6,10,4,6080,28.964
fp_1.bz2,18,6,10,6,8512,1.863
fp_2.bz2,18,6,10,6,8512,21.642
int_1.bz2,18,6,10,6,8512,27.069
int_2.bz2,18,6,10,6,8512,1.153
mm_1.bz2,18,6,10,6,8512,23.145
mm_2.bz2,18,6,10,6,8512,24.531
fp_1.bz2,18,6,10,8,10944,1.705
fp_2.bz2,18,6,10,8,10944,7.729
int_1.bz2,18,6,10,8,10944,19.356
int_2.bz2,18,6,10,8,10944,0.864
mm_1.bz2,18,6,10,8,10944,12.204
mm_2.bz2,18,6,10,8,10944,20.451
fp_1.bz2,18,6,10,10,13376,1.224
fp_2.bz2,18,6,10,10,13376,2.097
int_1.bz2,18,6,10,10,13376,15.212
int_2.bz2,18,6,10,10,13376,0.801
mm_1.bz2,18,6,10,10,13376,6.827
mm_2.bz2,18,6,10,10,13376,17.823
fp_1.bz2,18,6,10,12,15808,1.224
fp_2.bz2,18,6,10,12,15808,1.530
int_1.bz2,18,6,10,12,15808,14.279
int_2.bz2,18,6,10,12,15808,0.804
mm_1.bz2,18,6,10,12,15808,6.161
mm_2.bz2,18,6,10,12,15808,17.802
fp_1.bz2,18,6,12,4,6080,1.863
fp_2.bz2,18,6,12,4,6080,21.642
int_1.bz2,18,6,12,4,6080,27.513
int_2.bz2,18,6,12,4,6080,1.179
mm_1.bz2,18,6,12,4,6080,23.450
mm_2.bz2,18,6,12,4,6080,31.518
fp_1.bz2,18,6,12,6,8512,1.863
fp_2.bz2,18,6,12,6,8512,21.642
int_1.bz2,18,6,12,6,8512,27.315
int_2.bz2,18,6,12,6,8512,1.175
mm_1.bz2,18,6,12,6,8512,23.145
mm_2.bz2,18,6,12,6,8512,30.425
fp_1.bz2,18,6,12,8,10944,1.782
fp_2.bz2,18,6,12,8,10944,21.642
int_1.bz2,18,6,12,8,10944,26.872
int_2.bz2,18,6,12,8,10944,1.151
mm_1.bz2,18,6,12,8,10944,22.410
mm_2.bz2,18,6,12,8,10944,27.927
fp_1.bz2,18,6,12,10,13376,1.734
fp_2.bz2,18,6,12,10,13376,7.392
int_1.bz2,18,6,12,10,13376,20.482
int_2.bz2,18,6,12,10,13376,0.962
mm_1.bz2,18,6,12,10,13376,13.607
mm_2.bz2,18,6,12,10,13376,24.351
fp_1.bz2,18,6,12,12,15808,1.682
fp_2.bz2,18,6,12,12,15808,3.185
int_1.bz2,18,6,12,12,15808,17.691
int_2.bz2,18,6,12,12,15808,0.961
mm_1.bz2,18,6,12,12,15808,9.718
mm_2.bz2,18,6,12,12,15808,23.048
fp_1.bz2,18,6,14,4,6080,1.863
fp_2.bz2,18,6,14,4,6080,21.642
int_1.bz2,18,6,14,4,6080,27.513
int_2.bz2,18,6,14,4,6080,1.179
mm_1.bz2,18,6,14,4,6080,23.450
mm_2.bz2,18,6,14,4,6080,31.682
fp_1.bz2,18,6,14,6,8512,1.863
fp_2.bz2,18,6,14,6,8512,21.642
int_1.bz2,18,6,14,6,8512,27.315
int_2.bz2,18,6,14,6,8512,1.175
mm_1.bz2,18,6,14,6,8512,23.145
mm_2.bz2,18,6,14,6,8512,30.989
fp_1.bz2,18,6,14,8,10944,1.782
fp_2.bz2,18,6,14,8,10944,21.642
int_1.bz2,18,6,14,8,10944,26.887
int_2.bz2,18,6,14,8,10944,1.151
mm_1.bz2,18,6,14,8,10944,22.410
mm_2.bz2,18,6,14,8,10944,30.566
fp_1.bz2,18,6,14,10,13376,1.782
fp_2.bz2,18,6,14,10,13376,21.275
int_1.bz2,18,6,14,10,13376,26.777
int_2.bz2,18,6,14,10,13376,1.143
mm_1.bz2,18,6,14,10,13376,21.306
mm_2.bz2,18,6,14,10,13376,29.806
fp_1.bz2,18,6,14,12,15808,1.782
fp_2.bz2,18,6,14,12,15808,7.602
int_1.bz2,18,6,14,12,15808,23.413
int_2.bz2,18,6,14,12,15808,1.119
mm_1.bz2,18,6,14,12,15808,16.446
mm_2.bz2,18,6,14,12,15808,28.382
fp_1.bz2,18,6,16,4,6080,1.863
fp_2.bz2,18,6,16,4,6080,21.642
int_1.bz2,18,6,16,4,6080,27.513
int_2.bz2,18,6,16,4,6080,1.179
mm_1.bz2,18,6,16,4,6080,23.450
mm_2.bz2,18,6,16,4,6080,31.682
fp_1.bz2,18,6,16,6,8512,1.863
fp_2.bz2,18,6,16,6,8512,21.642
int_1.bz2,18,6,16,6,8512,27.315
int_2.bz2,18,6,16,6,8512,1.175
mm_1.bz2,18,6,16,6,8512,23.145
mm_2.bz2,18,6,16,6,8512,30.989
fp_1.bz2,18,6,16,8,10944,1.782
fp_2.bz2,18,6,16,8,10944,21.642
int_1.bz2,18,6,16,8,10944,26.887
int_2.bz2,18,6,16,8,10944,1.151
mm_1.bz2,18,6,16,8,10944,22.410
mm_2.bz2,18,6,16,8,10944,30.566
fp_1.bz2,18,6,16,10,13376,1.782
fp_2.bz2,18,6,16,10,13376,21.275
int_1.bz2,18,6,16,10,13376,26.777
int_2.bz2,18,6,16,10,13376,1.143
mm_1.bz2,18,6,16,10,13376,21.306
mm_2.bz2,18,6,16,10,13376,30.832
fp_1.bz2,18,6,16,12,15808,1.782
fp_2.bz2,18,6,16,12,15808,21.272
int_1.bz2,18,6,16,12,15808,26.355
int_2.bz2,18,6,16,12,15808,1.143
mm_1.bz2,18,6,16,12,15808,20.734
mm_2.bz2,18,6,16,12,15808,30.973
fp_1.bz2,18,8,4,4,24320,0.918
fp_2.bz2,18,8,4,4,24320,2.300
int_1.bz2,18,8,4,4,24320,12.283
int_2.bz2,18,8,4,4,24320,0.371
mm_1.bz2,18,8,4,4,24320,4.760
mm_2.bz2,18,8,4,4,24320,7.851
fp_1.bz2,18,8,4,6,34048,0.826
fp_2.bz2,18,8,4,6,34048,0.970
int_1.bz2,18,8,4,6,34048,9.236
int_2.bz2,18,8,4,6,34048,0.345
mm_1.bz2,18,8,4,6,34048,3.617
mm_2.bz2,18,8,4,6,34048,7.461
fp_1.bz2,18,8,4,8,43776,0.826
fp_2.bz2,18,8,4,8,43776,0.970
int_1.bz2,18,8,4,8,43776,8.997
int_2.bz2,18,8,4,8,43776,0.345
mm_1.bz2,18,8,4,8,43776,3.612
mm_2.bz2,18,8,4,8,43776,7.462
fp_1.bz2,18,8,4,10,53504,0.826
fp_2.bz2,18,8,4,10,53504,0.970
int_1.bz2,18,8,4,10,53504,8.997
int_2.bz2,18,8,4,10,53504,0.345
mm_1.bz2,18,8,4,10,53504,3.612
mm_2.bz2,18,8,4,10,53504,7.462
fp_1.bz2,18,8,4,12,63232,0.826
fp_2.bz2,18,8,4,12,63232,0.970
int_1.bz2,18,8,4,12,63232,8.997
int_2.bz2,18,8,4,12,63232,0.345
mm_1.bz2,18,8,4,12,63232,3.612
mm_2.bz2,18,8,4,12,63232,7.462
fp_1.bz2,18,8,6,4,24320,1.422
fp_2.bz2,18,8,6,4,24320,7.421
int_1.bz2,18,8,6,4,24320,14.930
int_2.bz2,18,8,6,4,24320,0.555
mm_1.bz2,18,8,6,4,24320,7.003
mm_2.bz2,18,8,6,4,24320,11.224
fp_1.bz2,18,8,6,6,34048,0.836
fp_2.bz2,18,8,6,6,34048,1.828
int_1.bz2,18,8,6,6,34048,11.145
int_2.bz2,18,8,6,6,34048,0.388
mm_1.bz2,18,8,6,6,34048,4.281
mm_2.bz2,18,8,6,6,34048,8.616
fp_1.bz2,18,8,6,8,43776,0.836
fp_2.bz2,18,8,6,8,43776,0.998
int_1.bz2,18,8,6,8,43776,8.816
int_2.bz2,18,8,6,8,43776,0.379
mm_1.bz2,18,8,6,8,43776,3.578
mm_2.bz2,18,8,6,8,43776,8.425
fp_1.bz2,18,8,6,10,53504,0.836
fp_2.bz2,18,8,6,10,53504,0.998
int_1.bz2,18,8,6,10,53504,8.755
int_2.bz2,18,8,6,10,53504,0.379
mm_1.bz2,18,8,6,10,53504,3.578
mm_2.bz2,18,8,6,10,53504,8.425
fp_1.bz2,18,8,6,12,63232,0.836
fp_2.bz2,18,8,6,12,63232,0.998
int_1.bz2,18,8,6,12,63232,8.755
int_2.bz2,18,8,6,12,63232,0.379
mm_1.bz2,18,8,6,12,63232,3.578
mm_2.bz2,18,8,6,12,63232,8.425
fp_1.bz2,18,8,8,4,24320,1.422
fp_2.bz2,18,8,8,4,24320,20.163
int_1.bz2,18,8,8,4,24320,19.815
int_2.bz2,18,8,8,4,24320,0.778
mm_1.bz2,18,8,8,4,24320,13.583
mm_2.bz2,18,8,8,4,24320,17.679
fp_1.bz2,18,8,8,6,34048,1.338
fp_2.bz2,18,8,8,6,34048,7.280
int_1.bz2,18,8,8,6,34048,14.816
int_2.bz2,18,8,8,6,34048,0.576
mm_1.bz2,18,8,8,6,34048,6.601
mm_2.bz2,18,8,8,6,34048,12.930
fp_1.bz2,18,8,8,8,43776,0.869
fp_2.bz2,18,8,8,8,43776,1.641
int_1.bz2,18,8,8,8,43776,11.078
int_2.bz2,18,8,8,8,43776,0.487
mm_1.bz2,18,8,8,8,43776,4.418
mm_2.bz2,18,8,8,8,43776,10.682
fp_1.bz2,18,8,8,10,53504,0.869
fp_2.bz2,18,8,8,10,53504,1.113
int_1.bz2,18,8,8,10,53504,9.637
int_2.bz2,18,8,8,10,53504,0.488
mm_1.bz2,18,8,8,10,53504,3.878
mm_2.bz2,18,8,8,10,53504,10.598
fp_1.bz2,18,8,8,12,63232,0.869
fp_2.bz2,18,8,8,12,63232,1.113
int_1.bz2,18,8,8,12,63232,9.611
int_2.bz2,18,8,8,12,63232,0.488
mm_1.bz2,18,8,8,12,63232,3.878
mm_2.bz2,18,8,8,12,63232,10.598
fp_1.bz2,18,8,10,4,24320,1.422
fp_2.bz2,18,8,10,4,24320,20.163
int_1.bz2,18,8,10,4,24320,19.849
int_2.bz2,18,8,10,4,24320,0.807
mm_1.bz2,18,8,10,4,24320,13.588
mm_2.bz2,18,8,10,4,24320,22.502
fp_1.bz2,18,8,10,6,34048,1.338
fp_2.bz2,18,8,10,6,34048,20.163
int_1.bz2,18,8,10,6,34048,19.662
int_2.bz2,18,8,10,6,34048,0.787
mm_1.bz2,18,8,10,6,34048,13.279
mm_2.bz2,18,8,10,6,34048,20.034
fp_1.bz2,18,8,10,8,43776,1.338
fp_2.bz2,18,8,10,8,43776,7.214
int_1.bz2,18,8,10,8,43776,15.094
int_2.bz2,18,8,10,8,43776,0.653
mm_1.bz2,18,8,10,8,43776,6.882
mm_2.bz2,18,8,10,8,43776,15.755
fp_1.bz2,18,8,10,10,53504,0.997
fp_2.bz2,18,8,10,10,53504,1.915
int_1.bz2,18,8,10,10,53504,12.002
int_2.bz2,18,8,10,10,53504,0.625
mm_1.bz2,18,8,10,10,53504,5.120
mm_2.bz2,18,8,10,10,53504,14.147
fp_1.bz2,18,8,10,12,63232,0.997
fp_2.bz2,18,8,10,12,63232,1.454
int_1.bz2,18,8,10,12,63232,11.008
int_2.bz2,18,8,10,12,63232,0.625
mm_1.bz2,18,8,10,12,63232,4.721
mm_2.bz2,18,8,10,12,63232,14.126
